report_id,zone_id,timestamp,category,time_window,description_stub,status
REP00001,Z03,2026-03-20T14:13:31Z,traffic,morning(06-09),Report of traffic noise in Z03 during morning(06-09). (Synthetic; no personal data),invalid
REP00002,Z03,2026-03-20T14:13:32Z,traffic,morning(06-09),Report of traffic noise in Z03 during morning(06-09). (Synthetic; no personal data),invalid
REP00003,Z05,2026-03-20T14:15:47Z,music,night(00-06),Report of music noise in Z05 during night(00-06). (Synthetic; no personal data),duplicate
REP00004,Z06,2026-03-20T14:16:11Z,traffic,evening(17-22),Report of traffic noise in Z06 during evening(17-22). (Synthetic; no personal data),duplicate
REP00005,Z04,2026-03-20T14:25:35Z,machinery,evening(17-22),Report of machinery noise in Z04 during evening(17-22). (Synthetic; no personal data),invalid
REP00006,Z04,2025-10-01T09:42:00Z,machinery,day(09-17),Report of machinery noise in Z04 during day(09-17). (Synthetic; no personal data),duplicate
REP00007,Z01,2025-10-01T09:59:00Z,traffic,late(22-24),Report of traffic noise in Z01 during late(22-24). (Synthetic; no personal data),invalid
REP00008,Z05,2025-10-01T10:16:00Z,other,morning(06-09),Report of other noise in Z05 during morning(06-09). (Synthetic; no personal data),under_review
REP00009,Z06,2025-10-01T10:33:00Z,construction,day(09-17),Report of construction noise in Z06 during day(09-17). (Synthetic; no personal data),under_review
REP00010,Z11,2025-10-01T10:50:00Z,machinery,evening(17-22),Report of machinery noise in Z11 during evening(17-22). (Synthetic; no personal data),under_review
REP00011,Z07,2025-10-01T11:07:00Z,traffic,evening(17-22),Report of traffic noise in Z07 during evening(17-22). (Synthetic; no personal data),under_review
REP00012,Z03,2025-10-01T11:24:00Z,traffic,late(22-24),Report of traffic noise in Z03 during late(22-24). (Synthetic; no personal data),invalid
REP00013,Z11,2025-10-01T11:41:00Z,other,evening(17-22),Report of other noise in Z11 during evening(17-22). (Synthetic; no personal data),duplicate
REP00014,Z11,2025-10-01T11:58:00Z,machinery,day(09-17),Report of machinery noise in Z11 during day(09-17). (Synthetic; no personal data),valid
REP00015,Z01,2025-10-01T12:15:00Z,music,evening(17-22),Report of music noise in Z01 during evening(17-22). (Synthetic; no personal data),duplicate
REP00016,Z04,2025-10-01T12:32:00Z,traffic,late(22-24),Report of traffic noise in Z04 during late(22-24). (Synthetic; no personal data),invalid
REP00017,Z02,2025-10-01T12:49:00Z,construction,morning(06-09),Report of construction noise in Z02 during morning(06-09). (Synthetic; no personal data),duplicate
REP00018,Z09,2025-10-01T13:06:00Z,other,late(22-24),Report of other noise in Z09 during late(22-24). (Synthetic; no personal data),under_review
REP00019,Z03,2025-10-01T13:23:00Z,neighbours,morning(06-09),Report of neighbours noise in Z03 during morning(06-09). (Synthetic; no personal data),under_review
REP00020,Z11,2025-10-01T13:40:00Z,machinery,morning(06-09),Report of machinery noise in Z11 during morning(06-09). (Synthetic; no personal data),under_review
REP00021,Z10,2025-10-01T13:57:00Z,music,day(09-17),Report of music noise in Z10 during day(09-17). (Synthetic; no personal data),duplicate
REP00022,Z06,2025-10-01T14:14:00Z,other,evening(17-22),Report of other noise in Z06 during evening(17-22). (Synthetic; no personal data),under_review
REP00023,Z10,2025-10-01T14:31:00Z,traffic,evening(17-22),Report of traffic noise in Z10 during evening(17-22). (Synthetic; no personal data),valid
REP00024,Z05,2025-10-01T14:48:00Z,other,night(00-06),Report of other noise in Z05 during night(00-06). (Synthetic; no personal data),under_review
REP00025,Z07,2025-10-01T15:05:00Z,machinery,morning(06-09),Report of machinery noise in Z07 during morning(06-09). (Synthetic; no personal data),valid
REP00026,Z02,2025-10-01T15:22:00Z,neighbours,day(09-17),Report of neighbours noise in Z02 during day(09-17). (Synthetic; no personal data),under_review
REP00027,Z04,2025-10-01T15:39:00Z,machinery,day(09-17),Report of machinery noise in Z04 during day(09-17). (Synthetic; no personal data),under_review
REP00028,Z12,2025-10-01T15:56:00Z,machinery,late(22-24),Report of machinery noise in Z12 during late(22-24). (Synthetic; no personal data),valid
