intervention_id,type,cost_band,feasibility_score,impact_range_db_low,impact_range_db_high,notes
INT001,signage,low,0.75,1,3,Seeded values; impact model uses range with zone context multipliers.
INT002,quiet_hours_policy,low,0.65,2,5,Seeded values; impact model uses range with zone context multipliers.
INT003,maintenance_schedule,low,0.7,1,4,Seeded values; impact model uses range with zone context multipliers.
INT004,event_end_time_cap,medium,0.55,3,6,Seeded values; impact model uses range with zone context multipliers.
INT005,traffic_reroute,high,0.4,4,8,Seeded values; impact model uses range with zone context multipliers.
INT006,speed_reduction,medium,0.6,2,6,Seeded values; impact model uses range with zone context multipliers.
INT007,acoustic_barrier,high,0.45,5,10,Seeded values; impact model uses range with zone context multipliers.
INT008,window_seals_program,medium,0.5,2,7,Seeded values; impact model uses range with zone context multipliers.
INT009,quiet_zone_marking,low,0.8,1,3,Seeded values; impact model uses range with zone context multipliers.
INT010,equipment_upgrade,high,0.35,3,9,Seeded values; impact model uses range with zone context multipliers.
INT011,construction_time_limits,medium,0.55,2,6,Seeded values; impact model uses range with zone context multipliers.
INT012,public_awareness_campaign,low,0.7,1,3,Seeded values; impact model uses range with zone context multipliers.
INT013,bike_lane_expansion,high,0.3,2,7,Seeded values; impact model uses range with zone context multipliers.
INT014,green_buffer_planting,medium,0.5,1,4,Seeded values; impact model uses range with zone context multipliers.
INT015,patrol_enforcement,medium,0.55,1,5,Seeded values; impact model uses range with zone context multipliers.
